ID,Featurename,TerminalName,NBBikes,NBEmptydoc,UploadDate,Coordinates
2,Harbour Town - Docklands Dve - Docklands,60000,9,14,28/01/2016 12:30:05 PM +0000,"(-37.814022, 144.939521)"
4,Federation Square - Flinders St / Swanston St - City,60001,12,10,28/01/2016 12:30:05 PM +0000,"(-37.817523, 144.967814)"
5,Plum Garland Reserve - Beaconsfield Pde - Albert Park,60002,16,1,28/01/2016 12:30:05 PM +0000,"(-37.84782, 144.948196)"
6,State Library - Swanston St / Little Lonsdale St - City,60003,9,2,28/01/2016 12:30:05 PM +0000,"(-37.810702, 144.964417)"
7,Bourke Street Mall - 205 Bourke St - City,60004,9,2,28/01/2016 12:30:05 PM +0000,"(-37.813088, 144.967437)"
8,Melbourne Uni - Tin Alley - Carlton,60005,2,17,28/01/2016 12:30:05 PM +0000,"(-37.79625, 144.960858)"
9,RMIT - Swanston St / Franklin St - City,60006,9,2,28/01/2016 12:30:05 PM +0000,"(-37.807699, 144.963095)"
10,St Paul's Cathedral - Swanston St / Flinders St - City,60007,4,7,28/01/2016 12:30:05 PM +0000,"(-37.817189, 144.967409)"
11,MSAC - Aughtie Dve - Albert Park,60008,9,18,28/01/2016 12:30:05 PM +0000,"(-37.842395, 144.961868)"
12,Fitzroy Town Hall - Moor St - Fitzroy,60009,3,4,28/01/2016 12:30:05 PM +0000,"(-37.801813, 144.979209)"
15,Coventry St / St Kilda Rd - Southbank,60017,5,6,28/01/2016 12:30:05 PM +0000,"(-37.828887, 144.970822)"
16,NAB - Harbour Esp / Bourke St - Docklands,60011,13,20,28/01/2016 12:30:05 PM +0000,"(-37.818306, 144.945923)"
17,Yarra's Point - Lorimer St / Yarra River - Docklands,60024,5,9,28/01/2016 12:30:05 PM +0000,"(-37.823805, 144.943051)"
18,Argyle Square - Lygon St - Carlton,60021,0,11,28/01/2016 12:30:05 PM +0000,"(-37.802129, 144.96677)"
20,Parliament Station - Nicholson St / Albert St - City,60025,8,7,28/01/2016 12:30:05 PM +0000,"(-37.809072, 144.972762)"
21,Bridport St / Montague St - Albert Park,60014,8,15,28/01/2016 12:30:05 PM +0000,"(-37.840885, 144.955303)"
22,Pickles St / Ingles St - Port Melbourne,60027,12,11,28/01/2016 12:30:05 PM +0000,"(-37.835803, 144.94852)"
23,Yarra's Edge - River Esp / Yarra River - Docklands,60015,6,5,28/01/2016 12:30:05 PM +0000,"(-37.824468, 144.946033)"
24,North Melbourne Station - Adderley St - North Melbourne,60038,7,8,28/01/2016 12:30:05 PM +0000,"(-37.807021, 144.941854)"
25,Sandridge Bridge - Southbank,60026,1,26,28/01/2016 12:30:05 PM +0000,"(-37.820836, 144.962266)"
