,Low birthweight (%),Early initiation of breastfeeding (%),Exclusive breastfeeding <6 months (%),"Introduction of solid, semi-solid or soft foods 6–8 months (%)",Breastfeeding at age 2 (%),Underweight (%) moderate and severe,Underweight (%) severe,Stunting (%) moderate and severe,Wasting (%) moderate and severe,Overweight (%) moderate and severe,"Vitamin A supplementation, full coverage(%)",Iodized salt consumption (%)
Afghanistan,–,–,–,29 x,54 x,33 x,12.2 x,59 x,9 x,4.6 x,–,20.4
Albania,3.6,42.9,38.6,78.278804160603,31,5,1.7,19,9,21.7,–,75.6
Algeria,6 x,49.5 x,7 x,"39 x,y",22.2 x,3 x,0.9 x,15 x,4 x,12.9 x,–,60.7 x
Andorra,–,–,–,–,–,–,–,–,–,–,–,–
Angola,12 x,54.9 x,11 x,77.2 x,37 x,16 x,6.6 x,29 x,8.2 x,–,44,44.7 x
Antigua and Barbuda,5 x,–,–,–,–,–,–,–,–,–,–,–
Argentina,7.2,–,54,–,28 x,2.3 x,0.4 x,8.2 x,1.2 x,9.9 x,–,–
Armenia,8,35.7,34.6,75,22.8,4.7,1.2,19.3,4,15.3,–,97 x
Australia,7 x,–,–,–,–,–,–,–,–,–,–,–
Austria,7 x,–,–,–,–,–,–,–,–,–,–,–
Azerbaijan,10 x,31.9 x,12 x,83.2917648882958 x,16.2 x,8 x,1.8 x,25 x,7 x,12.9 x,90 w,53.8 x
Bahamas,11 x,–,–,–,–,–,–,–,–,–,–,–
Bahrain,–,–,–,–,–,–,–,–,–,–,–,–
Bangladesh,22 x,47.1,64.1,62,89.6,36.4,10.4,41.3,15.6,1.5,99,82.3 y
Barbados,11.8,–,–,–,–,–,–,–,–,–,–,–
Belarus,4 x,21.1 x,9 x,38.3 x,3.6 x,1 x,0.5 x,4 x,2 x,9.7 x,–,–
Belgium,–,–,–,–,–,–,–,–,–,–,–,–
Belize,11.1,61.5,14.7,68.5,34.9,6.2,1.3,19.3,3.3,7.9,–,–
Benin,15 x,50.4,32.5,76.3 y,92.1,21.3,7.5,44.6,16,17.9,99,86
Bhutan,9.9,59,48.7,66.7,65.7,12.7,3.2,33.5,5.9,7.6,43,"96.2 x,y"
Bolivia (Plurinational State of),6,63.8,60.4,82.5549740883237,39.8,4.3,0.8,27.1,1.4,8.5,41,88.7 y
Bosnia and Herzegovina,3.1,42.3,18.5,71.3,12.2,1.6,0.9,8.9,2.3,17.4,–,"62 x,y"
Botswana,13 x,40 x,20 x,"45.5 x,y",5.9 x,11.2 x,3.8 x,31.4 x,7.2 x,11.2 x,–,65.2 x
Brazil,8.39,67.7,41,"69.9 x,y",25.2 x,2 x,–,7 x,2 x,7.3 x,–,"95.7 x,y"
Brunei Darussalam,–,–,–,–,–,–,–,–,–,–,–,–
Bulgaria,8.8,–,–,–,–,–,–,–,–,–,–,100 x
Burkina Faso,14.1,42.1,38.2,57.4,80.1,24.4,6.2,32.9,10.9,2.4,99,95.9 y
Burundi,12.9,73.6,69.3,69.7 y,79.1,28.8,7.8,57.7,5.8,2.7,–,96.1 y
Cabo Verde,6 x,72.7 x,60 x,"80 x,y",12.7 x,–,–,–,–,–,–,74.8
Cambodia,11.3,65.8,73.5,87.7,43.4,28.3,6.7,39.9,10.9,1.6,98,82.7 y
Cameroon,11 x,19.6 x,20,63.4 x,24.3,14.6,4.5,32.5,5.6,6.5,88,"49.1 x,y"
Canada,6 x,–,–,–,–,–,–,–,–,–,–,–
Central African Republic ,13.7,43.5,34.3,59.8,32.1,23.5,7.9,40.7,7.4,1.8,83,64.5
Chad,19.9,28.7,3.4,46.1,59.1,30.3,12.9,38.7,15.7,2.8,0,53.8
Chile,5.9,–,63 x,–,–,–,–,–,–,–,–,–
China,3,41,27.6,43.3 y,–,3.6,–,9.9,2.3,6.6,–,96.8 y
Colombia,6 x,48.9 x,42.8,85.5853558141613,32.5,3.4,0.6,13.2,0.9,4.8,–,–
Comoros,25 x,24.9 x,–,"34.3 x,y",45.1 x,15.3,4.4,30.1,11.1,9.3,–,82.3 x
Congo,13 x,38.7 x,19 x,"78.1 x,y",21.3 x,11 x,2.9 x,30 x,8 x,3.3,–,82 x
Cook Islands,3 x,–,–,–,–,–,–,–,–,–,–,–
Costa Rica,7.2,–,18.7 x,91.6,40,1.1,–,5.6,1,8.1,–,–
Côte d'Ivoire,17 x,30.8,12.1,64,38.1,14.9,3.4,29.8,7.5,3,99,"84.4 x,y"
Croatia,4.95,–,–,–,–,–,–,–,–,–,–,–
Cuba,5.2,76.7,48.6,77.2,17.1,–,–,–,–,–,–,88 x
Cyprus,–,–,–,–,–,–,–,–,–,–,–,–
Czech Republic,7 x,–,–,–,–,–,–,–,–,–,–,–
Democratic People's Republic of Korea,5.7,18.4,65 x,"31.4 x,y",36,15.2,2.9,27.9,4,–,99,24.5 y
Democratic Republic of the Congo,9.5,42.5,37,51.5,52.5,24.2,8.4,43.4,8.5,4.9,84,58.6
Denmark,5 x,–,–,–,–,–,–,–,–,–,–,–
Djibouti,10 x,54.9 x,1 x,34.7 x,18.4 x,22.9,4.9,30.8,10,8.1,88,0.4 x
Dominica,10.4,–,–,–,–,–,–,–,–,–,–,–
Dominican Republic,11 x,68.7 x,7.8 x,87.6513921444148 x,14.4,3.1 x,0.3 x,9.8 x,2.2 x,8.3,–,18.5 x
Ecuador,8,–,40 x,"76.4 x,y",22.7 x,6.2 x,1.4 x,29 x,2.3 x,5.1 x,–,–
Egypt,13,42.9 x,53.2,69.8870672825208,34.5,6,1.3,28.9,7.2,20.5,62,78.7
El Salvador,8.7,32.8,31.4,79.9,54,5.5,0.7,19.2,1,6,81,62 x
Equatorial Guinea,13 x,–,24 x,–,–,11 x,5.1 x,35 x,3 x,8.3 x,–,33.3 x
Eritrea,14 x,77.9 x,52 x,"42.5 x,y",61.7 x,35 x,12.8 x,44 x,15 x,1.6 x,38,68 x
Estonia,4 x,–,–,–,–,–,–,–,–,–,–,–
Ethiopia,20 x,51.5,52,49,82.3,28.7,8.8,44.4,9.7,1.7,31,15.4 y
Fiji,10.2 x,57.3 x,39.8 x,–,–,–,–,–,–,–,–,–
Finland,4 x,–,–,–,–,–,–,–,–,–,–,–
France,–,–,–,–,–,–,–,–,–,–,–,–
Gabon,14 x,32.3,6,"61.8 x,y",3.9,6,1.2,16.5,3.3,7.4,2,36 x
Gambia,10.2,51.6,33.5,34.3,31.4,17.4,4.2,23.4,9.5,1.9,46,22
Georgia,4.5,69,54.8,43.1 y,16.6,1.1,0.5,11.3,1.6,19.9,–,99.9
Germany,–,–,–,–,–,–,–,–,–,–,–,–
Ghana,10.7,45.9,45.7,74.8,37.4,13.4,2.6,22.7,6.2,2.6,17,34.5
Greece,–,–,–,–,–,–,–,–,–,–,–,–
Grenada,9 x,–,–,–,–,–,–,–,–,–,–,–
Guatemala,11.4,55.5,49.6,71.3 y,46.2,13.1,–,48,1.4,4.9,14,76 x
Guinea,12 x,40.2 x,48,32.4 y,–,16.3,3.9,34.5,5,3.6,99,41.1
Guinea-Bissau,11,54.6,38.3,43.3,64.9,18.1,4.6,32.2,5.8,3.2,95,11.7
Guyana,14.3,43.1 x,33.2,80.7739836980442,49.3,10.5,1.6,18.2,5.3,6.2,–,10.5
Haiti,23,46.7,39.7,87,30.8,11.4,3.1,21.9,5.1,3.6,54,18
Holy See,–,–,–,–,–,–,–,–,–,–,–,–
Honduras,9.9,63.8,31.2,83.4678430792337 x,43.3,7,1.1,22.6,1.4,5.1,58,–
Hungary,9 x,–,–,–,–,–,–,–,–,–,–,–
Iceland,4 x,–,–,–,–,–,–,–,–,–,–,–
India,28 x,40.5,46.4 x,56.1132487273973 x,76.8 x,42.5 x,15.8 x,48 x,19.8 x,1.9 x,59,71.1
Indonesia,9 x,29.3,41.5,84.6250762003513 x,55.3,17.9,4.9,35.6,13.3,12.3,73,"62.3 x,y"
Iran (Islamic Republic of),7 x,55.6 x,23 x,"67.7 x,y",57.5 x,–,–,–,–,–,–,"98.7 x,y"
Iraq,13.4,42.8,19.6,35.5,22.7,8.5,3.7,22.6,7.4,11.8,–,29
Ireland,–,–,–,–,–,–,–,–,–,–,–,–
Israel,8 x,–,–,–,–,–,–,–,–,–,–,–
Italy,–,–,–,–,–,–,–,–,–,–,–,–
Jamaica,12 x,62.3 x,15 x,35.6 x,24 x,3.2,–,4.8,3.5,4,–,–
Japan,8 x,–,–,–,–,–,–,–,–,–,–,–
Jordan,13 x,38.8 x,22.7,83.4747877972258 x,12.9,3,0.5,7.7,2.4,4.4,–,"88.3 x,y"
Kazakhstan,4.5,67.8,31.8,49.4,26.1,3.7,1.2,13.1,4.1,0.6,–,85.4
Kenya,8,58.1,32,85.1626946371435,53.6,16.1,3.6,35.3,6.7,4.7,66,97.6
Kiribati,–,–,69,–,81.7,–,–,–,–,–,–,–
Kuwait,–,–,–,–,–,–,–,–,–,–,–,–
Kyrgyzstan,5 x,64.9 x,32 x,60.1 x,26.2 x,4.7,0.9,22.6,1.3,4.4,–,76.1 x
Lao People's Democratic Republic,14.8,29.8 x,26 x,40.5 x,48.4 x,26.6,7.2,44.2,5.9,2,47,79.5 y
Latvia,5 x,–,–,–,–,–,–,–,–,–,–,–
Lebanon,11.5,–,14.8,"35.2 x,y",14.6,–,–,–,–,–,–,70.7
Lesotho,10.7,53.4,53.5,67.5934090375185,35.1,13.2,2.3,39,3.8,7.3,–,84.4
Liberia,14,67.4 x,29 x,–,–,14.9,2.3,41.8,2.7,4.6,13,–
Libya,–,–,–,–,–,4 x,–,21 x,4 x,22.4 x,–,–
Liechtenstein,–,–,–,–,–,–,–,–,–,–,–,–
Lithuania,4 x,–,–,–,–,–,–,–,–,–,–,–
Luxembourg,8 x,–,–,–,–,–,–,–,–,–,–,–
Madagascar,16,72.4,50.7,85.7408245232265,60.5,36 x,–,50.1,15 x,–,88,52.6
Malawi,13.5,94.5,71.4,86.3923723020803,76.8,12.8,3,47.1,4,8.3,60,97.2 y
Malaysia,11,–,–,–,–,11.9,2.3,16.6,12.4,5.1,–,17.6
Maldives,11,64.3,47.8,90.9472703384647,68.4,17.3,3.3,18.9,10.6,6.5,–,44 x
Mali,18,57.1,20.4,27.1,45.7,18.9,5.3,27.8,8.9,1,93,78.9 x
Malta,6 x,–,–,–,–,–,–,–,–,–,–,–
Marshall Islands,18 x,72.5 x,31 x,77 x,53.1 x,–,–,–,–,–,–,–
Mauritania,34.7,81.3,45.9,60.6 y,46.5,20.3,3.5,22.5,12.2,1.2,99,22.6
Mauritius,14 x,–,21 x,–,–,–,–,–,–,–,–,–
Mexico,9.15,18.23,18.63,27.4,–,2.8,–,13.6,1.6,9.7,–,91 x
Micronesia (Federated States of),18 x,–,–,–,–,–,–,–,–,–,–,–
Monaco,–,–,–,–,–,–,–,–,–,–,–,–
Mongolia,4.7,71.4,65.7,65.8,64.7,3.3,0.9,15.3,1.6,10.9,54,69.9
Montenegro,4 x,25.2 x,19 x,"35.3 x,y",12.8 x,2 x,0.5 x,7 x,4 x,15.6 x,–,70.7 x
Morocco,15 x,52 x,31 x,"52 x,y",14.7 x,3.1,2.2 x,14.9,2.3,10.7,–,21.2 x
Mozambique,16.9,76.7,42.8,89.5,51.5,14.9,4.1,42.6,5.9,7.4,20,44.8 y
Myanmar,8.6,75.8,23.6,75.8,65.4,22.6,5.6,35.1,7.9,2.6,86,92.9
Namibia,16 x,71.3 x,24 x,90.5401385456443 x,28.4 x,17 x,3.8 x,29 x,8 x,4.6 x,46,62.9 x
Nauru,27 x,"76.4 x,y",67 x,64.5 x,64.9 x,4.8 x,0.8 x,24 x,1 x,2.8 x,–,–
Nepal,17.8,44.5,69.6,65.5,92.6,28.8,7.7,40.5,10.9,1.5,95,80
Netherlands,–,–,–,–,–,–,–,–,–,–,–,–
New Zealand,6 x,–,–,–,–,–,–,–,–,–,–,–
Nicaragua,7.6,76.3 x,30.6 x,"76.1 x,y",42.9 x,6 x,0.8 x,22 x,1 x,6.2 x,7,96.8 x
Niger,27 x,42.4,23.3,64.9 y,50.1,36.4,13.3,43.9,18,2.4,98,32
Nigeria,15.2,22.9,15.1,32.9,34.5,24.2,9,35.8,10.2,3,78,51.5
Niue,0 x,–,–,–,–,–,–,–,–,–,–,–
Norway,5 x,–,–,–,–,–,–,–,–,–,–,–
Oman,9.6,84.8 x,–,"91.1 x,y",72.7 x,8.6,1,9.8,7.1,1.7,–,"68.5 x,y"
Pakistan,32 x,28.8 x,37 x,"36.3 x,y",55 x,31.5,11.6,43.7,15.1,6.4,99,69.1
Palau,–,–,–,–,–,–,–,–,–,–,–,–
Panama,10 x,–,–,–,–,4,–,19,1,–,–,–
Papua New Guinea,11 x,–,56 x,"75.9 x,y",71.6 x,18 x,5.3 x,43.6 x,5 x,4.4 x,15,91.9 x
Paraguay,6.3,47.1,24.4,66.6 y,14.3,3.4 x,–,17.5 x,1.1 x,7.1 x,–,93.4
Peru,8 x,51.3,70.6,81.7854057498952,54.9,4.1,0.5,19.5,0.4,9.8,–,90.5
Philippines,21,53.5,34,90.1379843268424,34.2,22,–,32,7,4.3,90,44.5 x
Poland,6 x,–,–,–,–,–,–,–,–,–,–,–
Portugal,8 x,–,–,–,–,–,–,–,–,–,–,–
Qatar,–,–,–,–,–,–,–,–,–,–,–,–
Republic of Korea,4 x,–,–,–,–,–,–,–,–,–,–,–
Republic of Moldova,6 x,64.5 x,46 x,"17.8 x,y",2.4 x,3 x,0.5 x,10 x,5 x,9.1 x,–,59.8 x
Romania,8 x,–,16 x,"41 x,y",–,4 x,0.8 x,13 x,4 x,8.3 x,–,74 x
Russian Federation,6 x,–,–,–,–,–,–,–,–,–,–,"35 x,y"
Rwanda,7.1,71.3,84.9,79.1,83.5,11.4,2.3,44.2,2.8,7.1,3,99.3
Saint Kitts and Nevis,7.8,–,–,–,–,–,–,–,–,–,–,"100 x,y"
Saint Lucia,11.4,–,–,–,–,–,–,–,–,–,–,–
Saint Vincent and the Grenadines,7.9,–,–,–,–,–,–,–,–,–,–,–
Samoa,10.2,87.6,51.3,71.1 y,73.9,–,–,–,–,–,–,–
San Marino,–,–,–,–,–,–,–,–,–,–,–,–
Sao Tome and Principe,9.9,35.3 x,51.4,73.8564434367334,20,13.1,3.1,29.3,10.5,10.5,34,85.6
Saudi Arabia,–,–,–,–,–,–,–,–,–,–,–,–
Senegal,18.6,48,39,67.2 y,50.7,17.7,4.5,26.5,10.1,2.5,–,47
Serbia,6.1,7.6,13.7,84.1,15.3,1.6,0.5,6.6,3.5,15.6,–,32.2 x
Seychelles,–,–,–,–,–,–,–,–,–,–,–,–
Sierra Leone,10.5,44.6,31.6,25.1,48.2,21.7,8.3,44.4,8.5,9.6,99,62.6
Singapore,8 x,–,–,–,–,3.3 x,0.4 x,4.4 x,3.6 x,2.6 x,–,–
Slovakia,7 x,–,–,–,–,–,–,–,–,–,–,–
Slovenia,–,–,–,–,–,–,–,–,–,–,–,–
Solomon Islands,12.5 x,75 x,74 x,"80.3 x,y",67.4 x,11.8 x,2.4 x,32.8 x,4.3 x,2.5 x,–,–
Somalia,–,26.3 x,9 x,15.6 x,35.4 x,32 x,11.6 x,42 x,13 x,4.7,–,1.2 x
South Africa,–,61.1 x,8 x,"49 x,y",30.6 x,9 x,–,33 x,6 x,19.2 x,–,–
South Sudan,–,–,45.1,20.9,38,27.6,12.2,31.1,22.7,5.4,70,54
Spain,–,–,–,–,–,–,–,–,–,–,–,–
