,Name,Title,University
0,Lynn Batten,Emeritus Professor,Deakin University
1,Andrzej Goscinski,Emeritus Professor,Deakin University
2,Jemal Abawajy,Professor,Deakin University
3,Maia Angelova,Professor,Deakin University
4,Gleb Beliakov,Professor,Deakin University
5,Terry Caelli,Professor,Deakin University
6,Jinho Choi,Professor,Deakin University
7,Chang-Tsun Li,Professor,Deakin University
8,Robin Doss,Professor,Deakin University
9,Peter Eklund,Professor,Deakin University
10,Seng Loke,Professor,Deakin University
11,Antonio Robles-Kelly,Professor,Deakin University
12,Jean-Guy Schneider,Professor,Deakin University
13,Yong Xiang,Professor,Deakin University
14,John Yearwood,Professor,Deakin University
15,Arkady Zaslavsky,Professor,Deakin University
16,Mohamed Abdelrazek,Associate Professor,Deakin University
17,Andrew Cain,Associate Professor,Deakin University
18,Richard Dazeley,Associate Professor,Deakin University
19,Guangyan Huang,Associate Professor,Deakin University
20,Thuong Hoang,Associate Professor,Deakin University
21,Gang Li,Associate Professor,Deakin University
22,Jianxin Li,Associate Professor,Deakin University
23,Xiao Liu,Associate Professor,Deakin University
24,Vicky Mak,Associate Professor,Deakin University
25,Tim Wilkin,Associate Professor,Deakin University
