date,arrival,Hong kong,Hong kong dollar,Sheung Wan ,Tai Ping Shan Street,Hong kong central,Hong Kong Disneyland,hong kong dollar to rmb,hkd to usd,Hong Kong cuisine,hong kong food,hong kong yum cha,hong kong best food,hong kong chinese food,hong kong food blog,hong kong hotel,silka hotel hong kong,hotel hong kong kowloon,crowne plaza hong kong kowloon east,Grand Hyatt Hong Kong,airbnb,hong kong accommodation,flights to hong kong,cathay pacific,hong kong to macau travel time,hong kong macau ferry,hong kong airport to macau,hong kong ferry terminal,ferry macau to hong kong airport,hong kong ferry,hongkong macau,hong kong airport,hong kong airport express,hong kong mtr hours,hong kong Transportation ,air asia,Hong Kong Airlines,agoda hong kong,asia travel hong kong,ocean park hong kong,hong kong map,singapore to hong kong,china mainland to hong kong,hong kong light show,skyscanner,ladies market hong kong opening hours,Shopping in Hong Kong,citygate outlet,hong kong shopping festival,hong kong casino,what to do in hong kong,nightlife hong kong,hong kong clubs,lan kwai fong,hong kong weather,occupy central,hongkong customs,hong kong cheap flight,Avenue of Stars,travel Tsim Sha Tsui,hong kong dollar to,hong kong currency,hong kong restaurant,hong kong travel,travel to Hong Kong,hong kong michelin,hong kong hotel central,hong kong hotel central.1,hong kong macao,hong kong asian,Hong Kong television drama,thai to hong kong,macau to hong kong,china hong kong,map hong kong,taiwan hong kong,japan hong kong,korea hong kong,mobile hong kong,eat hong kon,US hong kong,UK hong kong,shopping hong kong,street hong kong,price hong kong,ticket hong kong,train hong kong,bus hong kong,taxi hong kong,holiday hong kong,festival hong kong,hot hong kong,temperature hong kong,bar hong kong,air asia Hong Kong,Yum cha,Hong Kong Convention and Exhibition Centre
2012-01,60116,94,63,13,89,71,100,89,10,12,67,67,28,28,89,94,89,98,0,35,3,73,84,91,89,74,100,54,89,60,56,98,69,89,89,45,91,72,28,84,97,75,89,29,13,89,97,89,0,25,76,89,89,18,83,0,89,63,56,89,60,100,70,88,82,90,40,40,28,70,89,46,95,87,77,100,54,30,92,89,72,100,64,53,86,67,54,56,30,100,17,81,94,52,87,89,40
2012-02,43982,90,53,26,75,40,79,75,10,25,47,40,42,0,75,91,75,77,0,50,4,77,88,89,75,53,63,40,75,35,45,82,42,75,75,28,93,98,28,53,95,69,75,0,14,75,52,75,52,49,62,75,75,24,72,4,75,40,28,75,32,84,76,82,87,66,40,40,28,70,75,70,58,82,75,88,56,30,92,75,69,70,77,65,95,67,68,24,20,65,26,67,89,44,51,75,40
2012-03,57736,97,49,12,79,31,80,79,5,34,51,25,51,26,79,84,79,78,0,41,5,91,82,87,79,49,42,37,79,26,31,84,38,79,79,22,100,100,52,53,100,72,79,0,15,79,54,79,95,23,44,79,79,25,72,3,79,58,39,79,37,64,62,86,66,61,44,44,26,85,79,75,68,90,100,70,73,42,57,79,63,82,67,56,75,68,84,52,45,59,48,75,46,48,28,79,0
2012-04,58640,87,59,51,89,33,72,89,13,24,43,26,27,0,89,100,89,100,0,53,6,83,84,95,89,82,26,26,89,24,43,85,27,89,89,19,91,50,55,100,82,47,89,57,17,89,91,89,100,48,28,89,89,28,55,0,89,39,55,89,27,72,55,84,70,88,39,39,28,68,89,67,54,80,78,81,66,37,65,89,32,65,100,47,72,52,84,40,10,63,50,39,72,78,74,89,0
2012-05,46312,81,49,57,95,38,72,95,11,21,60,23,0,0,95,74,95,96,0,60,6,100,98,79,95,55,47,70,95,21,48,76,24,95,95,22,92,58,73,73,81,80,95,38,19,95,69,95,45,43,70,95,95,23,40,0,95,60,73,95,49,69,78,73,75,64,21,21,25,61,95,30,58,77,70,59,50,26,71,95,57,44,74,67,59,82,65,45,86,47,38,35,39,59,66,95,0
2012-06,50301,81,47,0,92,59,85,92,12,22,87,24,51,26,92,71,92,73,0,36,6,89,96,80,92,39,50,25,92,42,20,78,63,92,92,19,92,71,0,63,86,87,92,27,18,92,63,92,71,15,92,92,92,25,50,0,92,79,0,92,37,61,49,73,62,75,51,51,0,60,92,53,47,63,73,51,55,27,80,92,36,47,71,48,74,68,60,52,36,64,48,25,32,74,65,92,0
2012-07,48489,87,55,34,89,45,88,89,14,43,64,47,25,25,89,71,89,90,0,57,7,87,72,87,89,56,63,0,89,25,20,90,48,89,89,20,79,59,100,70,84,70,89,26,20,89,79,89,45,36,96,89,89,21,56,3,89,65,74,89,45,66,77,77,80,36,56,56,49,69,89,41,43,86,68,49,66,39,90,89,32,71,68,49,75,47,53,28,17,47,54,36,82,64,18,89,0
2012-08,41746,88,36,44,81,34,79,81,15,21,59,0,35,0,81,78,81,89,0,38,7,65,97,88,81,45,38,34,81,39,47,93,58,81,81,19,80,96,24,90,86,76,81,25,19,81,73,81,43,35,60,81,81,78,47,0,81,87,24,81,40,83,48,100,71,28,41,41,0,74,81,39,63,81,81,71,72,44,65,81,33,75,66,51,75,62,87,39,42,52,51,34,46,48,60,81,0
2012-09,60357,87,63,70,71,60,94,71,23,22,47,35,25,100,71,76,71,73,0,48,6,66,74,83,71,28,81,59,71,41,59,86,12,71,71,21,80,82,25,85,84,85,71,52,19,71,89,71,46,15,72,71,71,77,46,0,71,51,62,71,56,61,89,90,45,73,50,50,0,74,71,41,66,84,95,85,55,20,64,71,41,74,74,50,100,36,58,22,44,62,100,24,79,100,45,71,35
2012-10,59218,90,64,21,70,41,79,70,21,10,65,22,45,46,70,82,70,86,33,48,7,61,69,82,70,68,43,54,70,100,81,74,22,70,70,20,59,58,68,93,81,67,70,24,22,70,64,70,0,46,62,70,70,66,51,0,70,69,68,70,46,58,62,76,62,53,32,32,23,67,70,19,49,90,78,78,64,18,100,70,42,70,61,69,77,71,81,55,32,63,77,33,72,82,74,70,0
