date,arrival,Hong kong,Hong kong dollar,Sheung Wan ,Tai Ping Shan Street,Hong kong central,Hong Kong Disneyland,hong kong dollar to rmb,hkd to usd,Hong Kong cuisine,hong kong food,hong kong yum cha,hong kong best food,hong kong chinese food,hong kong food blog,hong kong hotel,silka hotel hong kong,hotel hong kong kowloon,crowne plaza hong kong kowloon east,Grand Hyatt Hong Kong,airbnb,hong kong accommodation,flights to hong kong,cathay pacific,hong kong to macau travel time,hong kong macau ferry,hong kong airport to macau,hong kong ferry terminal,ferry macau to hong kong airport,hong kong ferry,hongkong macau,hong kong airport,hong kong airport express,hong kong mtr hours,hong kong Transportation ,air asia,Hong Kong Airlines,agoda hong kong,asia travel hong kong,ocean park hong kong,hong kong map,singapore to hong kong,china mainland to hong kong,hong kong light show,skyscanner,ladies market hong kong opening hours,Shopping in Hong Kong,citygate outlet,hong kong shopping festival,hong kong casino,what to do in hong kong,nightlife hong kong,hong kong clubs,lan kwai fong,hong kong weather,occupy central,hongkong customs,hong kong cheap flight,Avenue of Stars,travel Tsim Sha Tsui,hong kong dollar to,hong kong currency,hong kong restaurant,hong kong travel,travel to Hong Kong,hong kong michelin,hong kong hotel central,hong kong hotel central.1,hong kong macao,hong kong asian,Hong Kong television drama,thai to hong kong,macau to hong kong,china hong kong,map hong kong,taiwan hong kong,japan hong kong,korea hong kong,mobile hong kong,eat hong kon,US hong kong,UK hong kong,shopping hong kong,street hong kong,price hong kong,ticket hong kong,train hong kong,bus hong kong,taxi hong kong,holiday hong kong,festival hong kong,hot hong kong,temperature hong kong,bar hong kong,air asia Hong Kong,Yum cha,Hong Kong Convention and Exhibition Centre
2012-01,40122,80,46,21,74,57,78,74,9,41,58,74,0,33,74,100,74,68,74,60,2,75,98,92,74,37,81,74,74,12,30,84,86,74,74,22,45,68,43,47,84,48,74,14,30,74,73,74,74,62,49,50,74,58,71,6,74,100,0,74,37,100,66,100,82,40,64,64,22,78,74,33,25,89,91,36,47,39,49,74,60,79,75,75,53,44,70,33,65,78,39,41,57,66,50,74,74
2012-02,49134,77,49,34,81,50,55,81,12,0,45,81,34,46,81,87,81,76,81,57,3,40,96,85,81,63,29,81,81,17,32,100,85,81,81,16,50,93,23,27,57,40,81,10,29,81,52,81,81,22,42,44,78,59,58,0,81,79,0,81,24,66,69,78,100,25,51,51,23,42,81,35,16,81,80,44,48,39,36,81,73,82,86,69,62,51,60,30,37,40,58,70,71,48,76,81,81
2012-03,64489,89,43,11,57,36,53,57,13,88,43,57,25,23,57,75,57,88,57,51,3,59,79,76,57,62,28,57,57,20,32,94,91,57,57,12,100,92,45,63,100,40,57,34,30,57,51,57,57,0,37,0,39,52,83,0,57,83,68,57,23,83,77,74,60,33,100,100,23,49,57,92,11,87,66,56,66,38,26,57,29,81,68,76,73,87,51,36,21,60,24,53,47,69,60,57,57
2012-04,50121,82,33,34,64,44,39,64,13,66,56,64,26,35,64,83,64,69,64,45,4,54,79,74,64,47,57,64,64,18,33,72,64,64,64,12,79,21,34,82,69,33,64,10,31,64,52,64,64,0,47,27,30,53,44,3,64,67,52,64,22,51,87,65,61,60,0,0,23,100,64,59,12,99,73,39,54,36,37,64,83,75,51,46,42,61,54,31,32,58,35,44,24,39,100,64,64
2012-05,38369,76,23,0,60,35,34,60,15,52,72,60,16,0,60,68,60,54,60,36,4,63,72,74,60,52,28,60,60,20,92,68,34,60,60,11,69,39,43,43,65,40,60,0,33,60,49,60,60,41,18,42,47,50,46,3,60,59,33,60,23,71,61,78,83,40,65,65,22,39,60,0,15,90,68,36,70,37,30,60,60,73,48,77,60,44,57,39,20,64,39,57,19,52,72,60,60
2012-06,33734,71,46,0,48,49,49,48,12,22,43,48,25,12,48,74,48,72,48,64,5,100,60,64,48,24,0,48,48,22,64,68,49,48,48,10,51,93,23,36,53,51,48,19,32,48,26,48,48,43,28,35,69,53,53,0,48,80,0,48,43,85,70,58,57,34,34,34,0,50,48,82,12,78,54,70,54,42,47,48,44,74,62,79,37,47,44,20,64,45,100,60,54,50,38,48,48
2012-07,35969,75,48,11,50,51,46,50,13,22,72,50,100,34,50,78,50,78,50,37,6,71,81,71,50,31,27,50,50,14,0,76,21,50,50,10,51,100,55,75,82,37,50,100,35,50,100,50,50,42,50,0,67,36,62,0,50,73,34,50,30,49,64,65,72,58,17,17,23,48,50,57,11,87,66,44,51,52,56,50,76,78,70,46,51,45,69,42,36,85,74,26,30,57,45,50,50
2012-08,36268,77,35,11,80,65,46,80,5,65,56,80,33,23,80,74,80,87,80,25,6,52,88,73,80,54,99,80,80,18,63,76,48,80,80,11,41,40,22,57,68,41,80,81,34,80,38,80,80,21,51,43,77,73,54,0,80,69,50,80,33,90,92,82,66,58,0,0,46,57,80,69,23,93,64,62,60,50,25,80,43,73,74,60,47,41,69,47,31,59,57,32,56,51,90,80,80
2012-09,37643,77,46,11,88,55,55,88,23,21,43,88,16,68,88,82,88,85,88,37,6,45,78,82,88,53,55,88,88,14,93,73,61,88,88,11,26,20,65,61,56,61,88,14,32,88,37,88,88,0,68,68,76,69,59,0,88,85,33,88,39,65,84,68,72,57,17,17,22,56,88,34,24,89,66,31,59,44,86,88,75,69,77,72,64,54,62,32,21,56,97,58,46,62,44,88,88
2012-10,53876,77,61,40,79,53,60,79,26,38,46,79,0,0,79,80,79,77,79,100,7,75,73,69,79,48,76,79,79,100,0,72,43,79,79,10,33,90,20,51,73,58,79,13,31,79,67,79,79,19,53,100,85,78,57,0,79,35,30,79,58,60,66,72,70,30,74,74,0,58,79,51,27,77,60,33,55,34,100,79,59,81,91,71,74,49,52,42,37,68,48,52,65,57,86,79,79
2012-11,52909,76,43,40,63,50,44,63,27,19,54,63,15,10,63,85,63,53,63,56,6,23,52,58,63,41,37,63,63,12,56,63,43,63,63,9,30,36,40,24,44,35,63,9,27,63,51,63,63,19,49,62,51,100,51,0,63,46,30,63,42,62,80,55,47,59,89,89,40,72,63,20,19,79,70,44,50,34,45,63,76,86,72,78,53,16,43,47,51,55,36,19,56,55,53,63,63
2012-12,40604,68,39,21,52,22,41,52,31,40,48,52,15,11,52,54,52,55,52,29,4,36,75,59,52,28,26,52,52,11,88,57,45,52,52,7,30,37,41,29,53,35,52,22,24,52,47,52,52,20,26,40,36,42,53,0,52,52,62,52,25,64,71,49,55,38,46,46,42,45,52,21,21,62,65,40,45,40,42,52,88,75,59,62,66,38,52,41,24,32,25,39,43,41,55,52,52
2013-01,42137,74,70,62,80,46,43,80,47,34,53,80,26,18,80,78,80,56,80,55,7,36,100,80,80,18,22,80,80,19,25,76,82,80,80,10,39,40,53,46,59,57,80,11,41,80,40,80,80,17,55,48,46,63,71,2,80,69,40,80,38,62,80,93,88,33,13,13,18,52,80,27,25,72,99,70,52,44,41,80,80,79,42,77,53,80,69,27,25,76,54,51,71,32,95,80,80
2013-02,38246,71,57,50,93,43,54,93,37,58,71,93,15,62,93,77,93,71,93,51,8,53,67,70,93,49,78,93,93,18,0,62,44,93,93,9,27,64,20,52,58,50,93,9,40,93,74,93,93,0,41,47,61,38,56,0,93,51,15,93,45,94,80,60,65,45,45,45,0,29,93,31,21,82,69,34,50,50,46,93,47,75,57,81,56,37,62,35,28,40,36,14,60,60,34,93,93
2013-03,61145,76,50,56,63,58,58,63,49,52,56,63,14,55,63,71,63,35,63,41,9,59,73,63,63,63,46,63,63,18,76,73,40,63,63,9,22,16,36,58,46,54,63,12,39,63,36,63,63,17,38,21,63,47,76,0,63,53,54,63,45,63,77,69,59,14,13,13,0,54,63,75,20,74,67,25,56,41,45,63,39,77,49,80,65,37,63,36,30,63,47,35,54,54,79,63,63
2013-04,47388,69,49,19,54,39,51,54,61,36,53,54,27,19,54,65,54,59,54,57,10,65,84,58,54,19,46,54,54,11,0,54,17,54,54,9,28,25,18,26,58,43,54,32,41,54,47,54,54,0,42,43,24,45,46,0,54,47,28,54,36,48,83,60,53,14,14,14,0,54,54,76,14,84,79,78,59,100,21,54,83,68,53,65,54,61,51,25,35,37,34,44,41,59,19,54,54
2013-05,39745,72,49,9,67,59,59,67,57,17,45,67,13,46,67,73,67,60,67,66,11,68,67,69,67,43,0,67,67,22,51,56,39,67,67,7,21,98,18,25,48,41,67,8,42,67,51,67,67,0,56,0,85,22,55,2,67,63,14,67,34,75,74,72,67,20,54,54,55,79,67,65,23,72,50,50,48,64,41,67,77,76,48,53,72,59,77,31,72,58,68,60,29,61,30,67,67
2013-06,33454,71,34,38,73,40,52,73,52,100,54,73,28,29,73,58,73,33,73,26,11,55,82,76,73,19,24,73,73,25,0,62,52,73,73,8,35,34,19,30,49,44,73,8,44,73,27,73,73,18,31,37,97,26,57,2,73,44,28,73,40,55,77,63,49,21,0,0,38,48,73,39,20,81,62,58,47,40,39,73,56,71,48,72,79,27,55,32,53,60,94,67,68,58,19,73,73
2013-07,37795,70,43,58,68,30,59,68,50,18,48,68,28,68,68,59,68,47,68,53,13,50,78,96,68,33,48,68,68,19,0,76,89,68,68,9,25,69,19,49,63,58,68,0,45,68,49,68,68,18,79,37,33,36,62,2,68,33,0,68,47,49,66,70,71,21,57,57,78,70,68,49,22,74,67,80,50,35,48,68,70,81,58,74,46,70,57,40,36,51,37,100,74,40,32,68,68
2013-08,37091,69,48,38,76,38,48,76,62,37,42,76,14,59,76,62,76,75,76,27,14,39,68,73,76,26,36,76,76,16,27,68,18,76,76,8,22,70,19,27,77,45,76,16,44,76,60,76,76,73,36,37,25,29,58,0,76,71,87,76,44,77,73,80,80,14,14,14,0,56,76,29,23,72,50,53,62,30,56,76,45,68,45,78,55,55,54,31,40,61,46,54,37,42,19,76,76
2013-09,34696,74,34,65,45,51,48,45,56,18,49,45,28,29,45,71,45,89,45,42,13,54,90,90,45,51,58,45,45,24,0,80,35,45,45,7,31,50,37,26,61,60,45,16,41,45,32,45,45,18,80,36,64,38,99,0,45,69,0,45,40,61,66,70,64,28,28,28,38,75,45,67,15,76,74,31,44,27,39,45,80,80,59,71,64,38,54,43,39,62,65,71,42,39,63,45,45
2013-10,50732,74,56,52,53,47,65,53,55,17,48,53,19,35,53,76,53,76,53,72,11,30,82,78,53,24,21,53,53,27,0,74,48,53,53,7,30,55,26,92,48,48,53,7,39,53,34,53,53,16,43,40,45,45,67,0,53,44,0,53,56,54,79,55,43,51,52,52,53,38,53,36,23,83,85,53,66,29,20,53,59,82,77,76,76,46,53,36,53,59,49,62,49,77,12,53,53
2013-11,50595,72,47,26,68,42,47,68,68,0,54,68,13,18,68,68,68,53,68,69,10,31,63,71,68,79,33,68,68,26,0,62,44,68,68,7,26,24,26,31,51,39,68,22,34,68,45,68,68,0,36,14,61,26,55,2,68,51,53,68,38,70,64,50,44,20,66,66,18,58,68,45,22,70,87,69,46,39,36,68,79,83,70,87,57,25,56,44,37,43,32,63,47,49,24,68,68
2013-12,40406,72,62,65,68,29,35,68,52,18,50,68,0,38,68,46,68,55,68,46,9,16,50,69,68,19,46,68,68,12,0,71,74,68,68,7,23,17,46,22,51,37,68,0,32,68,42,68,68,35,42,57,24,48,59,0,68,25,28,68,46,85,85,63,72,27,27,27,38,68,68,76,18,68,63,51,29,36,42,68,48,77,50,71,71,49,62,25,26,62,31,75,52,42,31,68,68
