date,arrival,Hong kong,Hong kong dollar,Sheung Wan ,Tai Ping Shan Street,Hong kong central,Hong Kong Disneyland,hong kong dollar to rmb,hkd to usd,Hong Kong cuisine,hong kong food,hong kong yum cha,hong kong best food,hong kong chinese food,hong kong food blog,hong kong hotel,silka hotel hong kong,hotel hong kong kowloon,crowne plaza hong kong kowloon east,Grand Hyatt Hong Kong,airbnb,hong kong accommodation,flights to hong kong,cathay pacific,hong kong to macau travel time,hong kong macau ferry,hong kong airport to macau,hong kong ferry terminal,ferry macau to hong kong airport,hong kong ferry,hongkong macau,hong kong airport,hong kong airport express,hong kong mtr hours,hong kong Transportation ,air asia,Hong Kong Airlines,agoda hong kong,asia travel hong kong,ocean park hong kong,hong kong map,singapore to hong kong,china mainland to hong kong,hong kong light show,skyscanner,ladies market hong kong opening hours,Shopping in Hong Kong,citygate outlet,hong kong shopping festival,hong kong casino,what to do in hong kong,nightlife hong kong,hong kong clubs,lan kwai fong,hong kong weather,occupy central,hongkong customs,hong kong cheap flight,Avenue of Stars,travel Tsim Sha Tsui,hong kong dollar to,hong kong currency,hong kong restaurant,hong kong travel,travel to Hong Kong,hong kong michelin,hong kong hotel central,hong kong hotel central.1,hong kong macao,hong kong asian,Hong Kong television drama,thai to hong kong,macau to hong kong,china hong kong,map hong kong,taiwan hong kong,japan hong kong,korea hong kong,mobile hong kong,eat hong kon,US hong kong,UK hong kong,shopping hong kong,street hong kong,price hong kong,ticket hong kong,train hong kong,bus hong kong,taxi hong kong,holiday hong kong,festival hong kong,hot hong kong,temperature hong kong,bar hong kong,air asia Hong Kong,Yum cha,Hong Kong Convention and Exhibition Centre
2012-01,86116,65,74,78,44,34,66,44,36,30,57,0,17,38,44,88,44,61,0,57,3,24,48,94,44,69,29,30,51,21,13,78,54,44,70,4,45,45,63,37,63,38,25,63,13,44,24,44,44,57,49,16,100,29,62,12,44,0,65,44,49,58,65,94,91,43,35,35,18,72,44,46,54,55,63,60,55,76,28,44,71,54,57,45,44,57,52,43,22,52,46,83,35,77,91,44,28
2012-02,86652,65,68,53,30,35,60,30,39,46,58,0,57,33,30,100,30,100,0,64,4,12,48,95,30,86,30,46,35,28,27,72,35,30,13,3,36,55,37,53,68,65,26,39,13,30,100,30,30,58,65,84,40,27,49,7,30,37,59,30,51,73,67,97,65,22,55,55,49,94,30,40,50,65,68,62,52,49,64,30,69,63,91,72,67,50,58,31,22,41,41,66,58,82,21,30,28
2012-03,111444,79,71,26,33,35,73,33,35,30,57,0,34,29,33,95,33,72,0,91,4,12,59,98,33,31,15,61,0,22,7,100,61,33,51,4,52,90,63,22,100,35,51,77,15,33,73,33,33,57,78,74,61,14,58,4,33,36,73,33,63,68,57,100,58,26,45,45,36,78,33,31,47,100,100,73,100,46,57,33,76,69,98,81,51,68,71,48,34,43,50,65,46,84,61,33,28
2012-04,110037,68,68,18,51,33,65,51,36,54,58,0,48,31,51,89,51,52,0,79,4,19,45,100,51,39,75,15,0,19,7,85,49,51,71,3,42,92,46,53,73,65,52,91,16,51,50,51,51,65,56,75,97,27,50,5,51,49,60,51,55,60,59,82,71,44,27,27,24,85,51,24,57,80,73,59,84,54,47,51,72,39,77,66,52,81,68,41,50,77,38,62,47,72,62,51,29
2012-05,102867,68,96,76,32,35,62,32,46,66,54,0,25,36,32,90,32,65,0,75,6,24,52,80,32,61,44,15,50,20,25,91,59,32,56,3,45,53,71,72,69,60,25,100,15,32,47,32,32,35,54,80,71,36,45,3,32,0,51,32,74,100,68,78,65,30,52,52,12,78,32,38,55,65,69,65,59,60,100,32,87,61,52,70,63,64,67,47,39,56,45,78,29,72,89,32,55
2012-06,102438,63,77,71,34,39,54,34,41,54,57,0,66,60,34,76,34,50,0,70,6,25,47,78,34,64,15,0,35,28,13,93,56,34,33,3,42,75,37,53,58,57,40,26,18,34,84,34,34,59,33,42,98,28,45,1,34,25,68,34,59,62,63,73,63,9,18,18,37,87,34,64,67,62,58,59,55,61,59,34,68,56,73,69,64,56,56,48,45,43,45,34,17,62,31,34,29
2012-07,96822,66,71,42,34,35,46,34,32,44,50,39,33,43,34,76,34,58,0,80,6,12,60,76,34,38,15,44,17,19,6,86,79,34,50,3,43,62,35,58,57,66,50,62,16,34,39,34,34,56,54,40,38,28,64,3,34,71,79,34,52,53,64,82,71,34,26,26,41,66,34,38,60,57,57,58,39,51,100,34,68,68,52,61,51,59,48,44,39,55,64,87,18,62,50,34,27
2012-08,85889,65,68,82,34,37,53,34,40,50,47,0,41,29,34,78,34,51,0,55,7,0,53,80,34,80,56,43,33,26,31,81,45,34,85,3,48,77,34,85,58,63,49,61,15,34,62,34,34,47,38,31,48,46,50,2,34,23,61,34,62,79,60,84,55,37,93,93,17,72,34,37,66,66,58,65,52,59,65,34,60,40,42,40,62,70,47,37,38,69,76,62,15,67,48,34,53
2012-09,87752,65,94,68,29,41,50,29,42,51,56,0,33,40,29,76,29,68,0,80,6,0,54,74,29,52,43,74,50,21,25,84,66,29,68,3,41,44,53,65,63,54,100,37,16,29,56,29,29,69,51,48,44,39,44,5,29,82,56,29,68,70,65,78,62,21,43,43,35,67,29,53,61,65,63,63,52,68,73,29,82,56,65,75,75,69,53,44,100,35,67,54,37,65,59,29,27
2012-10,113567,62,73,68,16,34,53,16,39,46,46,0,34,37,16,78,16,65,0,38,6,11,49,69,16,67,26,79,15,100,57,63,18,16,61,3,35,47,87,45,55,74,22,56,16,16,28,16,16,25,56,50,34,37,55,3,16,42,64,16,57,74,63,71,56,61,39,39,21,74,16,75,61,56,55,52,46,46,15,16,71,51,66,49,58,57,51,44,51,63,70,45,33,79,27,16,49
2012-11,109439,62,85,47,35,32,54,35,47,61,50,0,19,36,35,70,35,65,0,69,6,0,44,66,35,55,13,14,31,28,47,76,49,35,51,3,30,49,24,67,51,60,23,46,16,35,58,35,35,45,52,66,20,100,49,1,35,11,62,35,67,67,65,77,57,31,32,32,54,76,35,76,60,50,51,54,48,69,77,35,70,62,100,63,54,57,55,39,47,55,28,63,36,78,64,35,50
2012-12,91734,63,59,46,58,32,47,58,50,73,62,0,42,52,58,53,58,43,0,38,6,11,37,69,58,27,53,13,30,22,52,86,72,58,45,3,34,80,32,46,47,41,0,34,17,58,36,58,58,38,46,66,45,53,50,2,58,32,57,58,46,67,67,57,43,15,79,79,16,82,58,48,48,53,47,62,48,68,56,58,71,48,87,57,58,39,47,33,30,72,37,87,76,59,45,58,25
